datetime,battery_voltage,battery_current,battery_state_of_charge,battery_temperature_1,battery_temperature_2
12/22/2022 17:15,50.20000076,-22,,30.5,
12/22/2022 17:25,50.18000031,-14.60000038,,30.5,
12/22/2022 17:35,49.75999832,-30.79999924,,30.5,
12/22/2022 17:45,49.56999969,-36.59999847,,30.5,
12/22/2022 17:55,49.34999847,-44,,30.5,
12/22/2022 18:05,49.24000168,-45.40000153,,30.5,
12/22/2022 18:15,49.18000031,-46.79999924,,30.39999962,
12/22/2022 18:25,49.11000061,-46.79999924,,30.39999962,
12/22/2022 18:35,49.04999924,-46.79999924,,30.20000076,
12/22/2022 18:45,48.97999954,-46.79999924,,30.20000076,
12/22/2022 18:55,48.93999863,-46.79999924,,30.10000038,
12/22/2022 19:05,48.86999893,-46.79999924,,30.10000038,
12/22/2022 19:15,48.77000046,-48.40000153,,30,
12/22/2022 19:25,48.74000168,-46.79999924,,30,
12/22/2022 19:35,48.70000076,-46.79999924,,30,
12/22/2022 19:45,48.65999985,-46.79999924,,29.89999962,
12/22/2022 19:55,48.61000061,-45.40000153,,29.89999962,
12/22/2022 20:05,48.56999969,-45.40000153,,29.79999924,
12/22/2022 20:15,48.52999878,-45.40000153,,29.79999924,
12/22/2022 20:25,48.45999908,-45.40000153,,29.79999924,
12/22/2022 20:35,48.40000153,-46.79999924,,29.60000038,
12/22/2022 20:45,48.38000107,-46.79999924,,29.60000038,
12/22/2022 20:55,48.33000183,-45.40000153,,29.5,
12/22/2022 21:05,48.25,-46.79999924,,29.5,
12/22/2022 21:15,48.22000122,-45.40000153,,29.5,
12/22/2022 21:25,48.18000031,-45.40000153,,29.39999962,
12/22/2022 21:35,48.13999939,-45.40000153,,29.39999962,
12/22/2022 21:45,48.09000015,-45.40000153,,29.29999924,
12/22/2022 21:55,48.00999832,-45.40000153,,29.29999924,
12/22/2022 22:05,47.99000168,-45.40000153,,29.10000038,
12/22/2022 22:15,47.93999863,-45.40000153,,29.10000038,
12/22/2022 22:25,47.90000153,-45.40000153,,29,
12/22/2022 22:35,47.84999847,-45.40000153,,29,
12/22/2022 22:45,47.79000092,-45.40000153,,28.89999962,
12/22/2022 22:55,47.75,-45.40000153,,28.89999962,
12/22/2022 23:05,47.72000122,-44,,28.89999962,
12/22/2022 23:15,47.68000031,-45.40000153,,28.79999924,
12/22/2022 23:25,47.65999985,-45.40000153,,28.70000076,
12/22/2022 23:35,47.61999893,-45.40000153,,28.70000076,
12/22/2022 23:45,47.56999969,-44,,28.5,
12/22/2022 23:55,47.52999878,-45.40000153,,28.5,
12/23/2022 0:00,,,0.800000012,,17.29999924
12/23/2022 0:05,47.50999832,-44,,28.39999962,
12/23/2022 0:10,,,0.790000021,,17
12/23/2022 0:15,47.45999908,-45.40000153,,28.39999962,
12/23/2022 0:20,,,0.790000021,,16.89999962
12/23/2022 0:25,47.43999863,-44,,28.29999924,
12/23/2022 0:30,,,0.790000021,,16.79999924
12/23/2022 0:35,47.40000153,-44,,28.29999924,
12/23/2022 0:40,,,0.779999971,,16.70000076
12/23/2022 0:45,47.38000107,-44,,28.20000076,
12/23/2022 0:50,,,0.779999971,,16.70000076
12/23/2022 0:55,47.31000137,-44,,28.20000076,
12/23/2022 1:00,,,0.779999971,,16.60000038
12/23/2022 1:05,47.29000092,-45.40000153,,28,
12/23/2022 1:10,,,0.779999971,,16.5
12/23/2022 1:15,47.25,-44,,28,
12/23/2022 1:20,,,0.769999981,,16.29999924
12/23/2022 1:25,47.22999954,-44,,27.89999962,
12/23/2022 1:30,,,0.769999981,,16.20000076
12/23/2022 1:35,47.18000031,-44,,27.89999962,
12/23/2022 1:40,,,0.769999981,,16.10000038
12/23/2022 1:45,47.15999985,-44,,27.89999962,
12/23/2022 1:50,,,0.769999981,,16.10000038
12/23/2022 1:55,47.09999847,-45.40000153,,27.79999924,
12/23/2022 2:00,,,0.75999999,,16.10000038
12/23/2022 2:05,47.04999924,-44,,27.70000076,
12/23/2022 2:10,,,0.75999999,,16.10000038
12/23/2022 2:15,47.02999878,-44,,27.70000076,
12/23/2022 2:20,,,0.75999999,,16
12/23/2022 2:25,47.00999832,-44,,27.70000076,
12/23/2022 2:30,,,0.75999999,,15.89999962
12/23/2022 2:35,46.97000122,-44,,27.60000038,
12/23/2022 2:40,,,0.75,,15.69999981
12/23/2022 2:45,46.93999863,-44,,27.60000038,
12/23/2022 2:50,,,0.75,,15.5
12/23/2022 2:55,46.91999817,-44,,27.39999962,
12/23/2022 3:00,,,0.75,,15.5
12/23/2022 3:05,46.86000061,-44,,27.39999962,
12/23/2022 3:10,,,0.75,,15.5
12/23/2022 3:15,46.84000015,-44,,27.29999924,
12/23/2022 3:20,,,0.74000001,,15.19999981
12/23/2022 3:25,46.79000092,-44,,27.20000076,
12/23/2022 3:30,,,0.74000001,,15.19999981
12/23/2022 3:35,46.77000046,-44,,27.20000076,
12/23/2022 3:40,,,0.74000001,,15.19999981
12/23/2022 3:45,46.75,-44,,27.10000038,
12/23/2022 3:50,,,0.74000001,,15.19999981
12/23/2022 3:55,46.70999908,-44,,27.10000038,
12/23/2022 4:00,,,0.730000019,,15.10000038
12/23/2022 4:05,46.68000031,-44,,27,
12/23/2022 4:10,,,0.730000019,,15
12/23/2022 4:15,46.63999939,-44,,27,
12/23/2022 4:20,,,0.730000019,,14.80000019
12/23/2022 4:25,46.59999847,-44,,26.79999924,
12/23/2022 4:30,,,0.730000019,,14.69999981
